date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Montabaur.in,Montabaur.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out
2024-04-14,0.0,0.0,-1.0,3.0,16.0,16.0,16.0,16.0,8.0,7.0,4.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,26.0,26.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,26.0,5.0,22.0,25.0,23.0,23.0,25.0,0.0,0.0,20.0,-1.0
2024-04-13,-1.0,1.0,-1.0,2.0,5.0,5.0,-1.0,-1.0,185.0,207.0,210.0,208.0,208.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,204.0,209.0,209.0,203.0,203.0,0.0,0.0,0.0,0.0,202.0,202.0,204.0,205.0,201.0,201.0,204.0,204.0,0.0,0.0,201.0,-1.0
2024-04-12,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,35.0,32.0,30.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,139.0,139.0,142.0,142.0,0.0,0.0,0.0,0.0,142.0,142.0,-1.0,-1.0,140.0,140.0,133.0,136.0,0.0,0.0,136.0,-1.0
2024-04-11,-1.0,0.0,-1.0,1.0,0.0,0.0,14.0,14.0,2.0,3.0,2.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,32.0,31.0,30.0,30.0,0.0,0.0,0.0,0.0,29.0,29.0,17.0,20.0,28.0,28.0,26.0,26.0,0.0,0.0,25.0,-1.0
2024-04-10,-1.0,12.0,11.0,12.0,9.0,10.0,4.0,3.0,1.0,3.0,1.0,1.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,5.0,10.0,10.0,8.0,7.0,0.0,0.0,15.0,-1.0
2024-04-09,-1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,7.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,4.0,3.0,8.0,7.0,0.0,0.0,2.0,-1.0
2024-04-08,-1.0,4.0,-1.0,5.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,21.0,21.0,20.0,21.0,0.0,0.0,0.0,0.0,20.0,20.0,1.0,2.0,22.0,25.0,5.0,4.0,0.0,0.0,27.0,-1.0
2024-04-07,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,26.0,26.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,30.0,30.0,24.0,21.0,25.0,25.0,33.0,-1.0
2024-04-06,0.0,0.0,-1.0,2.0,0.0,0.0,8.0,7.0,5.0,2.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,7.0,3.0,3.0,9.0,10.0,6.0,-1.0
2024-04-05,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,2.0,13.0,43.0,45.0,0.0,0.0,0.0,0.0,59.0,59.0,58.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,41.0,59.0,59.0,50.0,50.0,55.0,59.0,61.0,-1.0
2024-04-04,-1.0,2.0,2.0,3.0,4.0,5.0,0.0,2.0,17.0,21.0,15.0,11.0,14.0,16.0,0.0,0.0,0.0,0.0,16.0,16.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,19.0,18.0,12.0,12.0,17.0,18.0,19.0,-1.0
2024-04-02,-1.0,35.0,34.0,35.0,32.0,33.0,36.0,37.0,46.0,49.0,46.0,44.0,42.0,43.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,41.0,41.0,38.0,38.0,39.0,39.0,38.0,-1.0
2024-04-01,-1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,28.0,28.0,20.0,18.0,20.0,22.0,28.0,-1.0
