date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Limburg_Süd.in,Limburg_Süd.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-04-15,0.0,0.0,-1.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,11.0,10.0,9.0,10.0,10.0,8.0,7.0,13.0,12.0,9.0,12.0,4.0,4.0,0.0,-1.0,1.0,1.0,1.0,1.0,2.0,-1.0
2024-04-14,0.0,0.0,-1.0,0.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,15.0,15.0,13.0,14.0,15.0,16.0,17.0,15.0,29.0,33.0,34.0,36.0,35.0,37.0,35.0,34.0,37.0,37.0,44.0,43.0,41.0,-1.0
2024-04-13,-1.0,0.0,-1.0,2.0,11.0,13.0,8.0,8.0,4.0,4.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,11.0,11.0,10.0,8.0,6.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0
2024-04-12,-1.0,6.0,7.0,9.0,6.0,6.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,30.0,0.0,0.0,30.0,30.0,30.0,29.0,30.0,30.0,33.0,35.0,48.0,47.0,59.0,59.0,51.0,53.0,51.0,50.0,54.0,54.0,54.0,53.0,53.0,-1.0
2024-04-11,-1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,11.0,11.0,10.0,9.0,17.0,18.0,17.0,17.0,17.0,18.0,19.0,21.0,17.0,18.0,17.0,16.0,18.0,17.0,21.0,21.0,21.0,-1.0
2024-04-10,-1.0,2.0,3.0,3.0,4.0,4.0,1.0,9.0,9.0,7.0,3.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,0.0,0.0,15.0,16.0,14.0,14.0,17.0,22.0,24.0,25.0,33.0,32.0,32.0,33.0,27.0,27.0,25.0,24.0,24.0,23.0,23.0,23.0,22.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,5.0,5.0,3.0,2.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,6.0,5.0,6.0,4.0,4.0,-1.0
2024-04-08,-1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,9.0,8.0,10.0,9.0,4.0,4.0,1.0,1.0,3.0,3.0,11.0,11.0,9.0,-1.0
2024-04-07,-1.0,0.0,-1.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,7.0,8.0,-1.0,0.0,4.0,32.0,0.0,0.0,37.0,37.0,0.0,0.0,39.0,39.0,53.0,52.0,65.0,65.0,65.0,63.0,67.0,66.0,64.0,65.0,64.0,65.0,64.0,64.0,65.0,65.0,64.0,64.0,63.0,-1.0
2024-04-06,-1.0,1.0,0.0,1.0,0.0,0.0,7.0,8.0,1.0,2.0,2.0,2.0,31.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-04,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,7.0,11.0,6.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,16.0,16.0,23.0,23.0,28.0,28.0,27.0,25.0,29.0,28.0,25.0,27.0,21.0,21.0,19.0,19.0,19.0,18.0,20.0,19.0,17.0,-1.0
2024-04-03,-1.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,4.0,5.0,6.0,2.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,20.0,20.0,18.0,18.0,19.0,19.0,27.0,27.0,28.0,27.0,32.0,45.0,44.0,45.0,42.0,42.0,45.0,50.0,50.0,50.0,49.0,-1.0
2024-04-02,-1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,10.0,12.0,30.0,27.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,0.0,0.0,27.0,29.0,26.0,26.0,31.0,31.0,30.0,30.0,28.0,26.0,32.0,33.0,27.0,27.0,25.0,25.0,26.0,26.0,27.0,26.0,25.0,-1.0
