name,federalState,latitude,longitude,type,segment,platforms,stationManagement,controlCenter,operator,operatorShort,regionalSector,delay,pureDelayNum,punctuality,pureDelay,handledTrains
Kempten (Allgäu) Hbf,Bayern,47.711745,10.31761,Knotenbahnhof,Regionaler Knoten,5.0,Augsburg,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.61667,201,0.1625,0.73632,240
Kiel Hbf,Schleswig-Holstein,54.314985,10.131976,Knotenbahnhof,Großstadtknoten,8.0,Schleswig-Holstein,Kiel Hbf,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,RB Nord,-3.17597,145,0.68884,-10.2069,466
Koblenz Hbf,Rheinland-Pfalz,50.350929,7.588345,Knotenbahnhof,Großstadtknoten,11.0,Koblenz,Mainz Hbf,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-nord,ZVRP Nord,RB Mitte,-1.09029,1671,0.39892,-1.81388,2780
Köln Hbf,Nordrhein-Westfalen,50.94303,6.958729,Metropolbahnhof,Metropolbahnhof,11.0,Köln,Köln Hbf,zweckverband-nahverkehr-rheinland-gmbh,NVR,RB West,-3.16031,6701,0.34458,-4.82182,10224
Krefeld Hbf,Nordrhein-Westfalen,51.325717,6.569885,Knotenbahnhof,Großstadtknoten,5.0,Duisburg,Duisburg Hbf,zweckverband-verkehrsverbund-rhein-ruhr-aor,VRR,RB West,-0.15476,96,0.42857,-0.27083,168
Kreuztal,Nordrhein-Westfalen,50.956029,7.991696,Zubringerbahnhof,Regionaler Zubringer,3.0,Hagen,Düsseldorf Hbf,zweckverband-nahverkehr-westfalen-lippe,NWL,RB West,0.2079,409,0.29725,0.29584,582
Weilheim (Oberbay),Bayern,47.845363,11.14286,Knotenbahnhof,Regionaler Knoten,5.0,Rosenheim,München Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,-0.08333,11,0.90833,-0.90909,120
Leer (Ostfriesl),Niedersachsen,53.23165,7.465283,Knotenbahnhof,Regionaler Knoten,3.0,Bremen / Osnabrück,Bremen Hbf,landesnahverkehrsgesellschaft-niedersachsen-mbh,LNVG,RB Nord,0.14837,1477,0.30429,0.21327,2123
Lichtenfels,Bayern,50.146452,11.059472,Knotenbahnhof,Regionaler Knoten,6.0,Nordfranken,Nürnberg Hbf,bayerische-eisenbahngesellschaft-mbh,BEG,RB Süd,0.39232,464,0.22538,0.50647,599
Ludwigsburg,Baden-Württemberg,48.891862,9.18542,Knotenbahnhof,Regionaler Knoten,5.0,Stuttgart,Stuttgart Hbf,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,RB Südwest,-0.46552,24,0.58621,-1.125,58
