source,target,maxDelay,minDelay,stdDev,connections,avgDelay
Gelsenkirchen Hbf,Recklinghausen Hbf,58.0,-53.0,11.38295,2.0,0.91453
Recklinghausen Hbf,Bochum Hbf,202.0,-196.0,46.90017,1.0,1.03333
Bochum Hbf,Siegburg/Bonn,170.0,-142.0,33.70123,1.0,6.7
Siegburg/Bonn,Dortmund Hbf,140.0,-170.0,33.7463,1.0,-6.03333
Husum,Bredstedt,7.0,-4.0,1.58907,1.0,0.01667
Bredstedt,Langenhorn (Schlesw),23.0,-23.0,6.75956,3.0,0.81564
Langenhorn (Schlesw),Niebüll,35.0,-11.0,6.14923,3.0,0.44134
Westerland (Sylt),Niebüll,21.0,-40.0,11.20276,3.0,-1.34969
Niebüll,Husum,20.0,-5.0,8.63042,7.0,0.97959
Husum,Heide (Holst),13.0,-4.0,4.4485,7.0,0.81341
Heide (Holst),Itzehoe,26.0,-9.0,10.67796,5.0,0.65471
Itzehoe,Hamburg Dammtor,26.0,-44.0,11.98972,3.0,0.63804
Friedberg (Hess),Stuttgart Hbf,0.0,-56.0,12.03543,1.0,-3.34884
Stuttgart Hbf,Frankfurt (Main) Hbf,54.0,0.0,11.74093,1.0,3.23256
Frankfurt (Main) Hbf,Darmstadt Hbf,16.0,-129.0,22.66489,13.0,-0.85147
Darmstadt Hbf,Bensheim,21.0,-3.0,5.38126,11.0,0.14133
Bensheim,Heidelberg Hbf,39.0,-21.0,11.82108,7.0,0.5042
Rostock Hbf,Bützow,114.0,-4.0,15.43832,11.0,0.11691
Bützow,Ludwigslust,10.0,-125.0,20.21656,2.0,-2.43564
Ludwigslust,Schwerin Hbf,147.0,-6.0,32.14062,8.0,2.76316
Schwerin Hbf,Hamburg Hbf,165.0,-12.0,25.95885,7.0,0.725
Wiesloch-Walldorf,Bruchsal,5.0,-2.0,1.91456,3.0,0.11111
Bruchsal,Karlsruhe-Durlach,5.0,-15.0,3.183,3.0,-0.57865
Karlsruhe-Durlach,Neu-Edingen/Friedrichsfeld,0.0,-55.0,7.14125,1.0,-1.05
Neu-Edingen/Friedrichsfeld,Karlsruhe Hbf,185.0,-2.0,42.34251,2.0,10.5914
Leipzig Hbf,Berlin Südkreuz,63.0,-18.0,17.67675,5.0,2.97727
Berlin Hbf,Hamburg Hbf,14.0,-28.0,5.70883,2.0,-2.60526
Schwerin Hbf,Bützow,4.0,-17.0,4.75072,5.0,-1.29851
Bützow,Rostock Hbf,18.0,-73.0,12.50872,8.0,0.11916
Rostock Hbf,Ribnitz-Damgarten West,14.0,-28.0,5.86182,6.0,0.09451
Ribnitz-Damgarten West,Velgast,11.0,-6.0,3.64131,8.0,-0.33333
Velgast,Stralsund Hbf,69.0,-9.0,9.68423,7.0,-0.11111
Stralsund Hbf,Bergen auf Rügen,29.0,-104.0,15.66585,9.0,-0.22394
Bergen auf Rügen,Ostseebad Binz,104.0,-11.0,15.60973,9.0,-0.33784
Nürnberg Hbf,Eisenach,0.0,-5.0,0.86246,1.0,-0.39623
Eisenach,Ansbach,12.0,0.0,1.87587,1.0,0.98113
Ansbach,Gotha,0.0,-13.0,2.37656,1.0,-1.92453
Gotha,Crailsheim,10.0,0.0,2.4591,1.0,1.37736
Crailsheim,Ellwangen,17.0,-23.0,7.36018,8.0,0.23093
Ellwangen,Aalen Hbf,13.0,-2.0,4.24214,8.0,-0.03602
Aalen Hbf,Schwäbisch Gmünd,55.0,-5.0,9.28993,8.0,0.27754
Schwäbisch Gmünd,Stuttgart Hbf,53.0,-7.0,15.14456,6.0,1.84419
Vaihingen (Enz),Mühlacker,10.0,-156.0,35.04269,8.0,-5.73941
Mühlacker,Pforzheim Hbf,18.0,-2.0,2.96374,8.0,-0.05508
Pforzheim Hbf,Hamburg Hbf,0.0,-26.0,4.79409,1.0,-1.45283
Hamburg-Altona,Karlsruhe Hbf,27.0,0.0,5.01536,1.0,3.0
Lüneburg,Hannover Hbf,28.0,-105.0,21.14861,6.0,-1.36415
Göttingen,Frankfurt (Main) Hbf,167.0,-128.0,39.17072,2.0,6.08333
Frankfurt (Main) Hbf,Kassel-Wilhelmshöhe,133.0,-60.0,39.0735,6.0,-2.01205
Kassel-Wilhelmshöhe,Frankfurt am Main Flughafen Fernbahnhof,85.0,-169.0,34.45811,2.0,1.825
Mannheim Hbf,Köln Hbf,0.0,-66.0,8.6243,1.0,-4.83333
Köln Hbf,Frankfurt (Main) Hbf,75.0,-71.0,23.21227,2.0,9.47899
Koblenz Hbf,Hanau Hbf,90.0,0.0,14.45918,1.0,12.5
Hanau Hbf,Celle,13.0,-89.0,15.05953,1.0,-12.58333
Celle,Kassel-Wilhelmshöhe,173.0,0.0,25.99158,1.0,12.78333
Göttingen,Uelzen,273.0,-86.0,40.05964,1.0,0.06667
Uelzen,Heidelberg Hbf,0.0,-273.0,38.975,1.0,-13.0
Heidelberg Hbf,Mainz Hbf,0.0,0.0,0.0,1.0,0.0
Mainz Hbf,Berlin-Spandau,84.0,0.0,11.82638,1.0,2.03333
Berlin-Spandau,Bielefeld Hbf,0.0,0.0,0.0,1.0,0.0
Bielefeld Hbf,Berlin Hbf,0.0,0.0,0.0,1.0,0.0
Berlin Ostbahnhof,Hannover Hbf,249.0,0.0,34.76262,1.0,13.36667
Hannover Hbf,Lüneburg,90.0,-99.0,29.95969,4.0,-3.42308
Frankfurt am Main Flughafen Fernbahnhof,Hanau Hbf,36.0,-130.0,23.32734,7.0,0.2325
Hanau Hbf,Fulda,45.0,-36.0,12.58777,6.0,-1.75516
Freiberg (Sachs),Dresden Hbf,35.0,-6.0,5.76511,2.0,0.69748
Elsterwerda,Riesa,15.0,-54.0,14.22844,4.0,-2.7605
Riesa,Doberlug-Kirchhain,33.0,0.0,7.06573,1.0,3.15254
Warnemünde,Chemnitz Hbf,0.0,0.0,0.0,1.0,0.0
Leipzig Hbf,Lutherstadt Wittenberg Hauptbahnhof,67.0,-38.0,19.79565,15.0,0.28395
Lutherstadt Wittenberg Hauptbahnhof,Berlin Südkreuz,86.0,-31.0,30.06366,15.0,2.38642
Ludwigslust,Hamburg Hbf,155.0,-35.0,42.32672,11.0,3.99828
Berlin Südkreuz,Halle (Saale) Hbf,132.0,-55.0,37.0964,18.0,-0.19829
Halle (Saale) Hbf,Erfurt Hbf,137.0,-23.0,47.58965,30.0,1.40312
Erfurt Hbf,Nürnberg Hbf,149.0,-5.0,47.89787,11.0,5.60606
Nürnberg Hbf,München Hbf,64.0,-94.0,43.40849,38.0,0.77581
Berlin Südkreuz,Bitterfeld,52.0,-9.0,16.50013,6.0,1.18333
Bitterfeld,Leipzig Hbf,3.0,-108.0,24.85586,4.0,-7.36683
Erfurt Hbf,Bamberg,138.0,-67.0,32.50446,14.0,-1.57108
Bamberg,Nürnberg Hbf,112.0,-4.0,19.83302,7.0,1.32057
Nürnberg Hbf,Donauwörth,96.0,-106.0,27.15251,6.0,-0.54802
Donauwörth,Augsburg Hbf,40.0,-5.0,7.77532,6.0,0.62429
Doberlug-Kirchhain,Schwerin Hbf,8.0,-16.0,3.00657,1.0,-0.47368
Schwerin Hbf,Berlin Südkreuz,19.0,-6.0,4.12204,1.0,2.61404
Waren (Müritz),Rostock Hbf,258.0,-8.0,38.34578,4.0,2.03419
Koblenz Hbf,Andernach,15.0,-28.0,4.7477,3.0,0.06818
Bonn Hbf,Köln Messe/Deutz,160.0,-161.0,55.83158,7.0,-3.875
Solingen Hbf,Wuppertal Hbf,50.0,-13.0,11.41332,8.0,-0.09048
Hamm (Westf) Hbf,Gütersloh Hbf,36.0,-51.0,16.50872,11.0,0.58696
Gütersloh Hbf,Bielefeld Hbf,99.0,-3.0,16.98673,11.0,0.34783
Bielefeld Hbf,Herford,10.0,-7.0,4.69498,11.0,-0.52007
Herford,Bad Oeynhausen,74.0,-3.0,13.81053,7.0,0.37222
Bad Oeynhausen,Minden (Westf),7.0,-3.0,2.82646,7.0,0.08333
Braunschweig Hbf,Magdeburg Hbf,120.0,-7.0,24.20596,8.0,2.07349
Leipzig Hbf,München Hbf,0.0,-125.0,19.35197,1.0,-7.70175
München-Pasing,Stuttgart Hbf,0.0,0.0,0.0,1.0,0.0
Stuttgart Hbf,Saarbrücken Hbf,13.0,0.0,1.72462,1.0,0.24561
Saarbrücken Hbf,Riesa,129.0,0.0,21.02877,1.0,9.07018
Köln Messe/Deutz,Esslingen (Neckar),111.0,-67.0,19.32542,2.0,-3.84746
Esslingen (Neckar),Siegburg/Bonn,66.0,-111.0,19.62341,2.0,4.12712
Frankfurt am Main Flughafen Fernbahnhof,Heidelberg Hbf,0.0,-49.0,8.26929,1.0,-4.06897
Konstanz,Radolfzell,13.0,-6.0,2.72682,3.0,-0.02326
Radolfzell,Singen (Hohentwiel),10.0,-2.0,1.75574,3.0,0.04651
Horb,Bondorf (b Herrenberg),14.0,-7.0,3.80848,2.0,-0.7094
Frankfurt am Main Flughafen Fernbahnhof,Mainz Hbf,9.0,-10.0,7.20658,10.0,-0.94656
Mainz Hbf,Boppard Hbf,19.0,-2.0,3.30211,1.0,1.33333
Boppard Hbf,Koblenz Hbf,25.0,-3.0,3.55807,1.0,-0.46667
Koblenz Hbf,Bonn-Beuel,27.0,-121.0,35.77832,8.0,-7.08134
Schwerin Hbf,Büchen,5.0,-6.0,2.25366,1.0,-1.45714
Saarbrücken Hbf,Homburg (Saar) Hbf,5.0,-3.0,1.32708,2.0,-0.28319
Homburg (Saar) Hbf,Kaiserslautern Hbf,3.0,-4.0,1.50775,2.0,-0.15929
Kaiserslautern Hbf,Neustadt (Weinstr) Hbf,6.0,-3.0,1.48802,2.0,-0.31858
Neustadt (Weinstr) Hbf,Mannheim Hbf,11.0,-3.0,3.23153,2.0,1.25664
Mannheim Hbf,Bensheim,7.0,-135.0,25.38212,3.0,-3.1145
Berlin Gesundbrunnen,Eberswalde Hbf,6.0,-12.0,2.29211,3.0,-0.17647
Eberswalde Hbf,Angermünde,8.0,-3.0,2.21019,6.0,-0.53448
Angermünde,Prenzlau,9.0,-3.0,2.44819,6.0,0.10057
Prenzlau,Pasewalk,4.0,-3.0,1.99569,7.0,-0.29902
Pasewalk,Anklam,25.0,-4.0,3.93486,6.0,-0.06322
Anklam,Züssow,9.0,-2.0,2.26223,7.0,0.20098
Züssow,Greifswald,4.0,-2.0,1.65567,7.0,-0.48775
Greifswald,Stralsund Hbf,8.0,-3.0,2.97902,8.0,-0.05012
Berlin Hbf,Lutherstadt Wittenberg Hauptbahnhof,0.0,-50.0,16.59025,2.0,-10.43697
Lutherstadt Wittenberg Hauptbahnhof,Berlin-Spandau,39.0,-66.0,12.2821,3.0,0.32961
Kassel-Wilhelmshöhe,Berlin Südkreuz,64.0,-82.0,31.6437,5.0,4.66892
Erfurt Hbf,Fulda,62.0,-43.0,22.6167,5.0,1.06061
Fulda,Frankfurt (Main) Hbf,180.0,-57.0,56.51888,17.0,1.40886
Hamburg Hbf,Berlin-Spandau,136.0,-50.0,36.94977,11.0,1.43669
Berlin-Spandau,Berlin Gesundbrunnen,23.0,-137.0,33.82709,4.0,-6.35065
Bamberg,Erlangen,30.0,-140.0,20.43713,13.0,0.02621
Kassel-Wilhelmshöhe,Würzburg Hbf,125.0,-62.0,30.39724,1.0,20.79661
Würzburg Hbf,Ingolstadt Hbf,124.0,-99.0,27.53927,2.0,-4.67241
Freiburg (Breisgau) Hbf,Offenburg,1.0,-25.0,4.55799,2.0,-0.58889
Limburg Süd,Wiesbaden Hbf,9.0,-12.0,2.87978,2.0,-0.39091
Wiesbaden Hbf,Mainz Hbf,16.0,-14.0,4.96919,6.0,0.43003
Dresden-Neustadt,Riesa,26.0,-12.0,10.70617,11.0,1.13543
Riesa,Leipzig Hbf,21.0,-13.0,10.37854,13.0,-1.85166
Eisenach,Bad Hersfeld,69.0,-5.0,12.24774,9.0,0.11577
Bad Hersfeld,Fulda,81.0,-10.0,22.41232,10.0,1.82904
Berlin Hbf,Schwerin Hbf,50.0,-49.0,14.19448,2.0,-6.41026
Schwerin Hbf,Berlin Gesundbrunnen,48.0,-17.0,11.92975,2.0,5.05983
Leipzig Hbf,Bitterfeld,121.0,-9.0,26.62399,4.0,5.2437
Frankfurt am Main Flughafen Fernbahnhof,Siegburg/Bonn,206.0,-74.0,45.99238,11.0,-2.97331
Lüneburg,Göttingen,0.0,-11.0,2.75283,1.0,-0.85366
Frankfurt (Main) Hbf,Uelzen,17.0,0.0,3.27872,1.0,1.0
Berlin-Spandau,Ludwigslust,11.0,-153.0,30.30208,6.0,-3.75529
Mainz Hbf,Bonn Hbf,35.0,-45.0,10.31586,1.0,-3.3
Bonn-Beuel,Köln Hbf,66.0,-30.0,17.58051,2.0,8.44167
Itzehoe,Hamburg-Altona,15.0,-11.0,5.90238,1.0,0.46667
Heidelberg Hbf,Stuttgart Hbf,101.0,-41.0,49.64728,14.0,2.00744
Berlin Gesundbrunnen,Bernau (b Berlin),114.0,-24.0,15.27586,3.0,1.93333
Bernau (b Berlin),Eberswalde Hbf,4.0,-4.0,2.52209,4.0,-1.61345
Eberswalde Hbf,Neustrelitz Hbf,13.0,-12.0,3.42457,1.0,-1.96667
Neustrelitz Hbf,Angermünde,23.0,-12.0,4.88023,2.0,1.69167
Pasewalk,Ribnitz-Damgarten West,3.0,-7.0,1.71698,1.0,-1.36667
Ribnitz-Damgarten West,Anklam,12.0,-3.0,2.42841,1.0,1.63333
Stralsund Hbf,Ribnitz-Damgarten West,5.0,-26.0,5.1556,2.0,-1.23423
Ribnitz-Damgarten West,Neustrelitz Hbf,0.0,-4.0,0.56012,1.0,-0.07843
Neustrelitz Hbf,Greifswald,26.0,0.0,4.74486,1.0,1.7451
Greifswald,Züssow,6.0,-3.0,1.74724,6.0,-0.10101
Pasewalk,Prenzlau,9.0,-31.0,4.75137,7.0,-0.01681
Oldenburg (Oldb) Hbf,Delmenhorst,14.0,-26.0,4.97291,3.0,-0.16867
Hamburg-Altona,Berlin Ostbahnhof,0.0,0.0,0.0,1.0,0.0
Berlin-Spandau,Berlin Ostbahnhof,161.0,-93.0,28.23475,1.0,-0.05
Hamburg Hbf,Uelzen,27.0,-16.0,5.21184,2.0,0.33333
Uelzen,Hamburg-Harburg,18.0,-27.0,5.01126,1.0,-1.35
Hamburg-Harburg,Celle,18.0,-18.0,5.0136,2.0,-0.63333
Celle,Lüneburg,105.0,-15.0,14.09688,1.0,3.7
Stuttgart Hbf,Berlin-Spandau,0.0,0.0,0.0,1.0,0.0
Marienhafe,Emden Hbf,15.0,-2.0,3.27592,4.0,0.56667
Siegburg/Bonn,Wuppertal Hbf,16.0,-206.0,27.05325,1.0,-2.81356
Hagen Hbf,Limburg Süd,209.0,-10.0,28.2675,1.0,3.98305
Montabaur,Köln Messe/Deutz,140.0,-1.0,40.80626,3.0,18.98788
Frankfurt (Main) Hbf,Aschaffenburg Hbf,117.0,-58.0,30.71779,13.0,2.66796
Frankfurt (Main) Hbf,Berlin Südkreuz,0.0,0.0,0.0,1.0,0.0
Mainz Hbf,Koblenz Hbf,77.0,-8.0,24.46719,9.0,0.97938
Bonn-Beuel,Köln Messe/Deutz,49.0,-9.0,9.50793,4.0,1.04494
Köln Messe/Deutz,Bonn Hbf,93.0,-128.0,40.09711,6.0,6.76944
Horb,Sulz (Neckar),6.0,-16.0,2.94177,2.0,0.00943
Sulz (Neckar),Oberndorf (Neckar),18.0,-17.0,4.46835,3.0,-0.11667
Oberndorf (Neckar),Hamburg Hbf,0.0,-74.0,14.49528,1.0,-5.33333
Hamburg Hbf,Rottweil,74.0,-5.0,14.16945,1.0,6.98148
Rottweil,Hamburg-Harburg,0.0,-73.0,10.60037,1.0,-3.16667
Hamburg-Harburg,Spaichingen,73.0,-14.0,10.50475,1.0,2.09259
Spaichingen,Lüneburg,16.0,-74.0,11.05289,1.0,-1.85185
Lüneburg,Tuttlingen,75.0,-16.0,11.19875,1.0,2.05556
Tuttlingen,Engen,2.0,-4.0,1.32847,3.0,0.05
Engen,Uelzen,17.0,-75.0,11.25924,1.0,-1.72222
Uelzen,Singen (Hohentwiel),71.0,-12.0,10.26933,1.0,1.55556
Radolfzell,Celle,25.0,-71.0,10.96435,1.0,-0.83333
Celle,Konstanz,71.0,-25.0,11.17451,1.0,0.87037
Konstanz,Hannover Hbf,23.0,0.0,3.6588,1.0,1.16667
Hannover Hbf,Kassel-Wilhelmshöhe,0.0,-6.0,0.8165,1.0,-0.11111
Kassel-Wilhelmshöhe,Nürnberg Hbf,57.0,0.0,11.95268,1.0,4.03704
Hamm (Westf) Hbf,Hagen Hbf,140.0,-12.0,28.26267,7.0,5.792
Hagen Hbf,Düsseldorf Hbf,79.0,-208.0,45.88034,5.0,-3.21739
Bamberg,Ingolstadt Hbf,276.0,-53.0,43.39041,1.0,7.57447
Bremerhaven-Lehe,Bremerhaven Hbf,1.0,-2.0,0.58488,1.0,-0.38333
Bremerhaven Hbf,Osterholz-Scharmbeck,6.0,-3.0,1.52743,1.0,0.15
Osterholz-Scharmbeck,Bremen Hbf,12.0,-19.0,3.57234,1.0,0.13333
Recklinghausen Hbf,Gelsenkirchen Hbf,31.0,-45.0,13.79719,4.0,-0.20921
Hannover Hbf,Osnabrück Hbf,80.0,-6.0,15.32373,2.0,7.14167
Köln Hbf,Düren,8.0,-119.0,20.69326,3.0,-5.41667
Düren,Aachen Hbf,106.0,-6.0,16.96025,3.0,1.63194
Hude,Minden (Westf),2.0,-30.0,8.56701,1.0,-5.69231
Minden (Westf),Delmenhorst,81.0,-2.0,13.49068,1.0,7.96154
Bremen Hbf,Wolfsburg Hbf,17.0,-92.0,14.91114,1.0,-6.17308
Berlin-Spandau,Verden (Aller),98.0,-11.0,19.8884,1.0,11.51923
Magdeburg Hbf,Brandenburg Hbf,51.0,-43.0,9.6635,2.0,0.25893
Potsdam Hbf,Berlin-Wannsee,6.0,-3.0,1.95914,1.0,0.75
Berlin-Wannsee,Berlin Hbf,51.0,-38.0,10.57865,2.0,-0.52679
Berlin Ostbahnhof,Berlin Gesundbrunnen,84.0,-65.0,23.58803,5.0,1.46713
Berlin Gesundbrunnen,Königs Wusterhausen,59.0,-9.0,12.1849,1.0,5.86538
Königs Wusterhausen,Lübben (Spreewald),13.0,-3.0,2.83821,1.0,1.05769
Lübben (Spreewald),Lübbenau (Spreewald),3.0,-2.0,1.01868,1.0,-0.46154
Lübbenau (Spreewald),Cottbus Hbf,7.0,-2.0,1.85799,1.0,0.63462
Erfurt Hbf,Eisenach,7.0,-70.0,16.56049,3.0,-4.99355
Eisenach,Fulda,136.0,-4.0,25.96352,3.0,6.83871
Fulda,Mannheim Hbf,14.0,-166.0,27.32506,2.0,-7.19231
Darmstadt Hbf,Heidelberg Hbf,141.0,-25.0,27.75732,3.0,3.5942
Hildesheim Hbf,Hannover Hbf,16.0,-72.0,13.27928,1.0,-8.11538
Magdeburg Hbf,Stendal Hbf,25.0,-5.0,4.82097,1.0,2.37838
Stendal Hbf,Wittenberge,6.0,-4.0,2.8652,2.0,-0.21875
Angermünde,Berlin Gesundbrunnen,0.0,0.0,0.0,1.0,0.0
Halle (Saale) Hbf,Kassel-Wilhelmshöhe,130.0,-64.0,19.23036,1.0,0.3
Eisenach,Mainz Hbf,13.0,-61.0,14.31522,1.0,-9.7
Mainz Hbf,Fulda,144.0,-16.0,22.53374,1.0,10.6
Fulda,Hanau Hbf,100.0,-91.0,32.71134,3.0,0.11029
Hanau Hbf,Frankfurt (Main) Hbf,120.0,-80.0,29.15608,8.0,0.0254
Köln Messe/Deutz,Frankfurt am Main Flughafen Fernbahnhof,111.0,-7.0,35.9226,11.0,0.74051
Passau Hbf,Plattling,15.0,-3.0,2.17666,2.0,-0.08333
Plattling,Straubing,2.0,-2.0,0.73454,2.0,-0.11667
Straubing,Regensburg Hbf,31.0,-3.0,5.87992,2.0,1.23333
Regensburg Hbf,Nürnberg Hbf,12.0,-5.0,4.21897,2.0,0.64167
Würzburg Hbf,Hanau Hbf,82.0,-20.0,14.10642,3.0,2.25556
Rostock Hbf,Schwerin Hbf,7.0,-21.0,3.92278,4.0,-0.8159
Schwerin Hbf,Waren (Müritz),18.0,-8.0,4.64226,4.0,0.66109
Waren (Müritz),Neustrelitz Hbf,7.0,-18.0,3.37385,5.0,-0.13087
Neustrelitz Hbf,Oranienburg,47.0,-5.0,7.92088,5.0,-0.15101
Oranienburg,Berlin Gesundbrunnen,48.0,-4.0,9.03432,5.0,0.95638
Berlin Südkreuz,Doberlug-Kirchhain,90.0,-6.0,16.61164,5.0,3.30537
Doberlug-Kirchhain,Elsterwerda,11.0,-3.0,3.4977,5.0,-0.36577
Elsterwerda,Dresden-Neustadt,56.0,-11.0,12.42156,7.0,2.17989
Göttingen,Hamburg Hbf,0.0,-10.0,1.59943,1.0,-0.46667
Hamburg Hbf,Hildesheim Hbf,10.0,0.0,1.59758,1.0,0.41667
Würzburg Hbf,Ansbach,7.0,-13.0,2.71484,1.0,0.05
Ansbach,Treuchtlingen,19.0,-2.0,3.22963,1.0,0.1
Treuchtlingen,Donauwörth,10.0,-5.0,2.91983,1.0,-1.5
Augsburg Hbf,Buchloe,6.0,-95.0,12.43078,1.0,-2.53333
Buchloe,Kaufbeuren,83.0,-3.0,10.93101,1.0,0.06667
Kaufbeuren,Kempten (Allgäu) Hbf,0.0,-83.0,10.56905,1.0,-3.41667
Kempten (Allgäu) Hbf,Immenstadt,72.0,-4.0,9.72956,2.0,0.3
Immenstadt,Sonthofen,12.0,-73.0,10.13768,2.0,-0.29167
Sonthofen,Fischen,12.0,-2.0,3.19206,2.0,2.6
Fischen,Oberstdorf,7.0,-3.0,2.17523,2.0,-0.48333
Hamburg Hbf,Berlin Hbf,0.0,-8.0,2.62342,1.0,-2.58824
München Hbf,Rosenheim,0.0,0.0,0.0,1.0,0.0
Ulm Hbf,Karlsruhe Hbf,0.0,0.0,0.0,1.0,0.0
Düsseldorf Hbf,Oberhausen Hbf,28.0,-15.0,5.6432,2.0,0.05042
Oberhausen Hbf,Düsseldorf Flughafen,0.0,0.0,0.0,1.0,0.0
Düsseldorf Flughafen,Solingen Hbf,13.0,0.0,3.03583,1.0,1.55932
Solingen Hbf,Duisburg Hbf,62.0,-19.0,17.68502,2.0,5.19328
Wuppertal Hbf,Essen Hbf,62.0,-65.0,17.01304,3.0,-3.32402
Kiel Hbf,Neumünster,28.0,-2.0,4.6362,4.0,0.225
Neumünster,Hamburg Hbf,45.0,-18.0,8.86552,1.0,5.25
Köln Hbf,Limburg Süd,20.0,-98.0,24.67505,2.0,-18.51667
Hamburg-Altona,Itzehoe,99.0,-5.0,25.42995,2.0,13.925
Wolfsburg Hbf,Eisenach,69.0,-32.0,13.76767,2.0,0.55833
Eisenach,Braunschweig Hbf,19.0,-20.0,4.21002,1.0,0.26667
Braunschweig Hbf,Esslingen (Neckar),9.0,-20.0,3.66149,1.0,-0.48333
Esslingen (Neckar),Hildesheim Hbf,21.0,-14.0,4.21173,1.0,0.58333
Koblenz Hbf,Bonn Hbf,36.0,-134.0,26.79553,4.0,-1.12022
Limburg Süd,Wuppertal Hbf,63.0,-21.0,9.99615,2.0,1.09483
Hamburg-Altona,Hamburg Hbf,39.0,-12.0,11.88762,7.0,1.73861
Nürnberg Hbf,Frankfurt am Main Flughafen Fernbahnhof,121.0,-35.0,22.59607,2.0,8.54945
Limburg Süd,Berlin Gesundbrunnen,0.0,-44.0,9.17651,1.0,-2.28571
Lutherstadt Wittenberg Hauptbahnhof,Bitterfeld,129.0,-3.0,21.83096,2.0,3.0
Bitterfeld,Halle (Saale) Hbf,8.0,-15.0,4.87899,6.0,-0.64553
Leipzig Hbf,Weimar,0.0,0.0,0.0,1.0,0.0
Bad Hersfeld,Hünfeld,0.0,0.0,0.0,1.0,0.0
Hünfeld,Fulda,0.0,0.0,0.0,1.0,0.0
Frankfurt (Main) Hbf,Montabaur,43.0,0.0,8.9379,1.0,2.22449
Aachen Hbf,Herzogenrath,8.0,-4.0,2.28714,2.0,0.4322
Geilenkirchen,Erkelenz,20.0,-12.0,3.46969,2.0,-0.05085
Erkelenz,Rheydt Hbf,21.0,-2.0,3.29153,2.0,0.70339
Rheydt Hbf,Mönchengladbach Hbf,7.0,-1.0,1.72436,2.0,0.50847
Mönchengladbach Hbf,Viersen,34.0,-9.0,6.77707,2.0,1.16949
Viersen,Krefeld Hbf,12.0,-1.0,1.92784,2.0,0.66102
Krefeld Hbf,Duisburg Hbf,22.0,-3.0,4.63136,2.0,0.94915
Herford,Hannover Hbf,80.0,-7.0,13.61281,3.0,0.69663
Celle,Stralsund Hbf,0.0,-63.0,9.336,1.0,-1.7234
Bützow,Hannover Hbf,61.0,0.0,9.05804,1.0,1.68085
Bremen Hbf,Hannover Hbf,23.0,-3.0,12.27076,2.0,2.82609
Magdeburg Hbf,Dessau Hbf,5.0,0.0,1.46299,1.0,0.84211
Dessau Hbf,Bitterfeld,7.0,-2.0,1.9026,1.0,0.21053
Riesa,Elsterwerda,16.0,-46.0,17.16395,3.0,-2.45324
Bad Kleinen,Ludwigslust,3.0,-4.0,1.15025,1.0,-0.4
Aschaffenburg Hbf,Hanau Hbf,80.0,-17.0,11.13628,1.0,2.01667
Wuppertal Hbf,Köln Süd,36.0,-103.0,22.38748,1.0,-14.79661
Köln Süd,Bonn Hbf,57.0,0.0,13.71549,1.0,7.54237
Koblenz Hbf,Köln Hbf,116.0,0.0,24.30417,1.0,19.11864
Köln Messe/Deutz,Montabaur,40.0,-180.0,30.8083,3.0,-1.34444
Frankfurt (Main) Hbf,Frankfurt (Main) West,5.0,-3.0,2.06762,8.0,0.04239
Frankfurt (Main) West,Friedberg (Hess),10.0,-32.0,7.8277,5.0,-1.21212
Schwerin Hbf,Bad Kleinen,3.0,-7.0,1.84257,3.0,-0.375
Bad Kleinen,Ribnitz-Damgarten West,0.0,-85.0,17.99854,1.0,-5.95122
Stralsund Hbf,Bützow,83.0,0.0,17.46586,1.0,5.5122
Augustfehn,Osnabrück Hbf,10.0,-60.0,10.16619,1.0,-5.26667
Osnabrück Hbf,Leer (Ostfriesl),122.0,0.0,18.13555,1.0,7.51667
Friedberg (Hess),Bad Nauheim,55.0,0.0,10.66329,3.0,2.76271
Bad Nauheim,Wetzlar,56.0,-45.0,12.59172,8.0,0.81957
Wetzlar,Dillenburg,211.0,-9.0,35.93652,8.0,0.76957
Dillenburg,Siegen-Weidenau,36.0,-16.0,10.58876,5.0,1.8339
Siegen-Weidenau,Kreuztal,5.0,-3.0,2.33383,5.0,-0.91864
Kreuztal,Lennestadt-Altenhundem,19.0,-140.0,18.46062,5.0,-0.56271
Lennestadt-Altenhundem,Lennestadt-Grevenbrück,9.0,-3.0,2.88048,5.0,0.33898
Lennestadt-Grevenbrück,Finnentrop,5.0,-2.0,2.35611,5.0,1.34576
Finnentrop,Plettenberg,13.0,-13.0,3.98107,5.0,0.24746
Plettenberg,Werdohl,14.0,-4.0,3.70602,5.0,0.13559
Werdohl,Altena (Westf),5.0,-7.0,1.99535,5.0,-0.03051
Altena (Westf),Witten Hbf,80.0,-33.0,12.80323,4.0,0.96596
Witten Hbf,Dortmund Hbf,54.0,-31.0,11.24681,5.0,1.69153
Erlangen,Erfurt Hbf,140.0,-7.0,37.40108,4.0,2.28889
Angermünde,Neustrelitz Hbf,6.0,-144.0,25.82326,1.0,-15.8
Ribnitz-Damgarten West,Stralsund Hbf,139.0,-3.0,25.27129,1.0,13.15
Karlsruhe-Durlach,Karlsruhe Hbf,52.0,-5.0,8.23534,4.0,0.3348
Erfurt Hbf,Erlangen,45.0,-8.0,11.70617,4.0,0.4186
Vaihingen (Enz),Heidelberg Hbf,28.0,-70.0,14.70424,6.0,-0.08834
Köln Messe/Deutz,Darmstadt Hbf,9.0,-66.0,12.4553,1.0,-5.46667
