date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-11,0.0,10.0,9.0,10.0,10.0,20.0,16.0,16.0,13.0,13.0,7.0,7.0,7.0,9.0,15.0,15.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,17.0,17.0,19.0,19.0,0.0,0.0,19.0,0.0
2024-04-10,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,21.0,21.0,14.0,17.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,16.0,15.0,14.0,13.0,14.0,14.0,15.0,14.0,0.0,0.0,13.0,0.0
2024-04-09,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
2024-04-08,0.0,0.0,0.0,4.0,4.0,6.0,6.0,6.0,8.0,14.0,8.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,33.0,33.0,32.0,32.0,0.0,0.0,52.0,53.0,54.0,55.0,43.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,54.0,52.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,7.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,14.0,14.0,14.0,15.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,3.0,2.0,12.0,9.0,9.0,4.0,5.0,3.0,3.0,0.0,0.0,7.0,7.0,7.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0
2024-04-04,0.0,14.0,14.0,17.0,17.0,17.0,17.0,23.0,20.0,19.0,16.0,18.0,16.0,16.0,0.0,0.0,13.0,13.0,12.0,11.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,15.0,0.0
2024-04-03,0.0,15.0,15.0,14.0,13.0,13.0,15.0,17.0,15.0,14.0,54.0,56.0,55.0,55.0,0.0,0.0,68.0,68.0,69.0,70.0,60.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,67.0,0.0
2024-04-02,0.0,1.0,0.0,0.0,0.0,6.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,7.0,7.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0
2024-04-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
